provincia;titulo;tipo_objeto;autor;fecha_periodo_obra;fecha_robo
Pichincha;SAN JOAQUIN;PINTURA;ANÓNIMO; SIGLO XVII- XVIII;08-sep-93
Pichincha;CRISTO ;ESCULTURA;ANÓNIMO; SIGLO XVII;27-may-98
Pichincha;CRUCIFIJO CRISTO MUERTO;ESCULTURA;ANÓNIMO;SIGLO XVIII;25-jun-00
Pichincha;CRUCIFIJO, CRISTO DIFUNTO;ESCULTURA;ANÓNIMO;SIGLO XVIII;02-nov-02
Pichincha;NIÑO JESUS;ESCULTURA;ANÓNIMO;N/D;31-dic-02
Pichincha;CRUCIFIJO;ESCULTURA;ANÓNIMO; SIGLO XVIII - XIX;04-nov-94
Pichincha;CRISTO;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-sep-98
Pichincha;MARIA MADGALENA;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-sep-98
Pichincha;CRUCIFIJO ;ESCULTURA;ANÓNIMO; SIGLO XIX;29-dic-09
Pichincha;VIRGEN Y BEATO REGINALDO ;PINTURA;ATRIBUIDO A FRAY DEL CASTILLO;SIGLO XVIII;29-ene-93
Pichincha;LA VISITACIÓN  ;PINTURA;LUIS CADENA; SIGLO XIX;30-ago-93
Pichincha;LA ANUNCIACIÓN;PINTURA;LUIS CADENA; SIGLO XIX;30-ago-93
Pichincha;LA ASUNCIÓN  DE LA VIRGEN;PINTURA;LUIS CADENA; SIGLO XIX;30-ago-93
Pichincha;CORONACIÓN DE LA VIRGEN;PINTURA;LUIS CADENA; SIGLO XIX;30-ago-93
Pichincha;SANTO DOMINGO DE GUZMAN;ESCULTURA;ANÓNIMO;SIGLO XVIII;30-ago-93
Pichincha;SAN FRANCISCO DE ASÍS ;ESCULTURA;ANÓNIMO;SIGLO XVIII;30-ago-93
Pichincha;SAN AGUSTIN  DOCTOR DE LA IGLESIA ;PINTURA;ANÓNIMO;SIGLO XVIII;30-ago-93
Pichincha;SANTA INES;PINTURA;ANÓNIMO;SIGLO XVIII;30-ago-93
Pichincha;OBISPO SAN ALBERTO MAGNO;PINTURA;ANÓNIMO;SIGLO XVIII;30-ago-93
Pichincha;EL DESCENDIMIENTO;PINTURA;ANÓNIMO;N/D;14-feb-97
Pichincha;VIRGEN MARÍA;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-dic-02
Pichincha;SAN JOSE  ;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-dic-02
Pichincha;NIÑO JESUS;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-dic-02
Pichincha;MULA;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-dic-02
Pichincha;BUEY;ESCULTURA;ANÓNIMO;SIGLO XVIII;31-dic-02
Pichincha;SAN JOAQUIN;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-sep-92
Pichincha;CRISTO DE LA RESURRECCIÓN;ESCULTURA;CASPICARA;N/D;12-ago-99
Pichincha;OCTAVA ESTACIÓN DEL VIACRUCIS;PINTURA;JOAQUIN PINTO; SIGLO XIX;28-ene-95
Pichincha;NOVENA ESTACIÓN DEL VIACRUCIS;PINTURA;ANÓNIMO; SIGLO XIX;23-mar-04
Pichincha;CRUCIFIJO ;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-ene-94
Pichincha;CRUCIFIJO ;ESCULTURA;ANÓNIMO; SIGLO XIX;17-abr-99
Pichincha;NIÑO JESUS;ESCULTURA;ANÓNIMO;SIGLO XVIII;25-jul-98
Pichincha;VIRGEN DE QUITO INMACULADA;ESCULTURA;ANÓNIMO;SIGLO XVIII;24-ago-98
Pichincha;SAN JOSE CON EL NIÑO;ESCULTURA;ANÓNIMO;SIGLO XVIII;24-ago-98
Pichincha;VIRGEN DE QUITO INMACULADA;ESCULTURA;ATRIBUIDO A LEGARDA;N/D;10-mar-99
Pichincha;CRISTO;ESCULTURA;ANÓNIMO;SIGLO XVIII;10-mar-99
Pichincha;SAN PEDRO NOLASCO;ESCULTURA;ANÓNIMO;SIGLO XVIII;10-mar-99
Pichincha;JESUS;ESCULTURA;ANÓNIMO;SIGLO XVIII;10-mar-99
Pichincha;NIÑO JESUS;ESCULTURA;ANÓNIMO; SIGLO XVIII - XIX;10-mar-99
Pichincha;SILLON;ESCULTURA;ANÓNIMO; SIGLO XIX;10-mar-99
Pichincha;PADRE ETERNO;ESCULTURA;ANÓNIMO;SIGLO XVIII;10-mar-99
Pichincha;VIRGEN MARÍA;ESCULTURA;ANÓNIMO;SIGLO XVIII;10-mar-99
Pichincha;SANTO TOMAS DE VILLANUEVA;PINTURA;ANÓNIMO; SIGLO XVII;16-abr-99
Pichincha;LA TRINIDAD;PINTURA;ANÓNIMO; SIGLO XVIII - XIX;14-sep-07
Pichincha;ARCANGEL SAN MIGUEL;PINTURA;ANÓNIMO; SIGLO XVIII - XIX;14-sep-07
Pichincha;SANTA LUCIA;PINTURA;ANÓNIMO; SIGLO XIX;14-sep-07
Pichincha;SAN ANTONIO;PINTURA;ANÓNIMO;SIGLO XVIII;14-sep-07
Chimborazo;VESTIDO DE LA VIRGEN ;TEXTILES;ANÓNIMO;SIGLO XVIII;13-oct-07
Chimborazo;CORONA DE LA VIRGEN;ORFEBRERÍA;ANÓNIMO;SIGLO XVIII;13-oct-07
Chimborazo;CETRO;ORFEBRERÍA;ANÓNIMO;SIGLO XVIII;13-oct-07
Chimborazo;CUSTODIA;ORFEBRERÍA;ANÓNIMO;1705;13-oct-07
Pichincha;SAN ESTANISLAO DE KOTSKA;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-oct-99
Pichincha;SANTO DOMINGO DE GUZMAN;PINTURA;ANÓNIMO; SIGLO XIX;01-oct-99
Pichincha;LA DOLOROSA;PINTURA;ANÓNIMO; SIGLO XIX - XX;01-oct-99
Pichincha;SAN FRANCISCO DE ASIS;PINTURA;ANÓNIMO;SIGLO XVIII;01-oct-99
Pichincha;SAN AGUSTIN;PINTURA;ANÓNIMO;SIGLO XVIII;01-oct-99
Pichincha;EL PRESIDENTE VISITADOR;PINTURA;ANÓNIMO;SIGLO XVIII;01-oct-99
Pichincha;SAN ANTONIO DE PADUA;PINTURA;ANÓNIMO; SIGLO XVIII - XIX;01-oct-99
Pichincha;CRUCIFIJO;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-oct-99
Pichincha;CUSTODIA (BRONCE);ORFEBRERÍA;ANÓNIMO; SIGLO XX;01-oct-99
Pichincha;CUSTODIA (BAÑO DE PLATA);ORFEBRERÍA;ANÓNIMO; SIGLO XX;01-oct-99
Pichincha;CUSTODIA (PEDRERIA FALSA);ORFEBRERÍA;ANÓNIMO;SIGLO XIX;01-oct-99
Pichincha;JESUS ANTE CAIFAS;PINTURA;ANÓNIMO;SIGLO XVIII;08-jul-00
Pichincha;EL DESENDIMIENTO;PINTURA;ANÓNIMO;SIGLO XVIII;08-jul-00
Pichincha;LA CRUCIFIXIÓN;PINTURA;ANÓNIMO;SIGLO XVIII;08-jul-00
Pichincha;SAGRADA FAMILIA;PINTURA;ANÓNIMO; SIGLO XVII;01-sep-02
Pichincha;VIRGEN DE GUADALUPE ;PINTURA;ANÓNIMO; SIGLO XVII- XVIII;18-nov-02
Pichincha;ALMAS DEL PULGATORIO;PINTURA;ANÓNIMO;N/D;29-oct-02
Pichincha;NIÑO JESUS;ESCULTURA;ANÓNIMO;N/D;29-oct-02
Pichincha;BAUTISMO DE JESUS POR  SAN JUAN BAUTISTA;PINTURA;ANÓNIMO;N/D;29-oct-02
Pichincha;CORONA Y ARETES;ORFEBRERÍA;ANÓNIMO;N/D;29-oct-02
Pichincha;CRISTO CRUCIFICADO;ESCULTURA;ANÓNIMO;1930;20-mar-02
Pichincha;VIRGEN MARÍA;ESCULTURA;ANÓNIMO;SIGLO XVIII;01-nov-02
Pichincha;JESUS SENTENCIADO A MUERTE;PINTURA;ANÓNIMO;N/D;01-nov-02
Pichincha;CRUCIFIJO;ESCULTURA;LEGARDA;N/D;01-nov-02
Pichincha;PROFETA ELIAS;PINTURA;ANÓNIMO;N/D;01-nov-02
Pichincha;VIRGEN DEL CARMEN;PINTURA;ANÓNIMO;SIGLO XIX;08-jul-07
Pichincha;VIRGEN DE LA MERCED;PINTURA;ANÓNIMO; SIGLO XX;08-jul-07
Pichincha;QUERUBINES ;ESCULTURA;ANÓNIMO;SIGLO XVIII;08-jul-07
Pichincha;MANO;ESCULTURA;ANÓNIMO;SIGLO XVIII;08-jul-07
Pichincha;CUSTODIA ;ORFEBRERÍA;ANÓNIMO;N/D;08-jul-07
Pichincha;TORO ;ESCULTURA;ANÓNIMO;N/D;08-jul-07
Otros;FIGURIN ANTROPOMORFO;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2007
Otros;COMPOTERA ;ARQUEOLÓGICO;PIARTAL;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURIN  SEDENTE (COQUERO) ;ARQUEOLÓGICO;NEGATIVO DEL CARCHI;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros; GASTEROPODOS (OCARINAS);ARQUEOLÓGICO;NEGATIVO DEL CARCHI;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros; GASTEROPODOS (OCARINAS);ARQUEOLÓGICO;NEGATIVO DEL CARCHI;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURIN ;ARQUEOLÓGICO;MANTEÑA;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;MASCARA ANTROPOMORFA;ARQUEOLÓGICO;NEGATIVO DEL CARCHI;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURIN ANTROPOMORFO;ARQUEOLÓGICO;LA TOLITA ;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros; UTENSILIOS LITICOS;ARQUEOLÓGICO;S/N;N/D;2007
Otros;FIGURIN ANTROPOMORFO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;FIGURIN ANTROPOMORFO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;VASO ANTROPOMORFO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros; FIGURIN;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros; FIGURIN ANTROPOMORFO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;VASIJA;ARQUEOLÓGICO;CHORRERA;entre 1800 a 500 a.C., período Formativo Tardío, en la Prov. de Los Ríos, litoral ecuatoriano.;2007
Otros; BOTELLA;ARQUEOLÓGICO;CHORRERA;entre 1800 a 500 a.C., período Formativo Tardío, en la Prov. de Los Ríos, litoral ecuatoriano.;2007
Otros;VASIJA;ARQUEOLÓGICO;CHORRERA;entre 1800 a 500 a.C., período Formativo Tardío, en la Prov. de Los Ríos, litoral ecuatoriano.;2007
Otros;VASO;ARQUEOLÓGICO;CHORRERA;entre 1800 a 500 a.C., período Formativo Tardío, en la Prov. de Los Ríos, litoral ecuatoriano.;2007
Otros; COPA;ARQUEOLÓGICO;CHORRERA;entre 1800 a 500 a.C., período Formativo Tardío, en la Prov. de Los Ríos, litoral ecuatoriano.;2007
Otros;INCENSARIO ;ARQUEOLÓGICO;MANTEÑA;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURIN ANTROPOMORFO FEMENINO;ARQUEOLÓGICO;JAMA COAQUE;entre 500 a.C. a 500 d.C. en la Prov. de Manabí,  litoral ecuatoriano.;2007
Otros;FIGURIN;ARQUEOLÓGICO;NEGATIVO DEL CARCHI;PERIODO DESARROLLO REGIONAL 500 a.C. al 500 D.C. Y DE INTEGRACIÓN (500 D.C al 1500 D.C). ;2007
Otros;PENDIENTES ;ARQUEOLÓGICO;MANTEÑA;de 500 a 1500 d.C., Período de Integración, en la Prov. de Manabí, litoral ecuatoriano.;2007
Otros;PENDIENTES ;ARQUEOLÓGICO;MANTEÑA;de 500 a 1500 d.C., Período de Integración, en la Prov. de Manabí, litoral ecuatoriano.;2007
Otros;PENDIENTES;ARQUEOLÓGICO;GUANGALA;de 500 a.C. a 500 d.C., Período de Desarrollo Regional ;2007
Otros;PENDIENTES ;ARQUEOLÓGICO;GUANGALA;de 500 a.C. a 500 d.C., Período de Desarrollo Regional ;2007
Otros;FIGURIN ;ARQUEOLÓGICO;JAMA COAQUE;de 500 a.C. a 500 d.C., Período de Desarrollo Regional ;2007
Otros;FIGURIN;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURIN;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURIN;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;FIGURIN;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;VASO;ARQUEOLÓGICO;GUANGALA;500 a.C. a 500 d.C. ;2007
Otros;FIGURIN;ARQUEOLÓGICO;LA TOLITA ;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;ESTATUILLAS;ARQUEOLÓGICO;VALDIVIA;PERÍODO FORMATIVO 1500 A.C a 500 A.C;2007
Otros;VASO CEREMONIAL;ARQUEOLÓGICO;JAMA COAQUE;500 a.C. a 500 d.C. ;2007
Otros;FIGURIN;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;FIGURÍN (COQUERO);ARQUEOLÓGICO;NEGATIVO DEL CARCHI;PERIODO DESARROLLO REGIONAL 500 a.C. al 500 D.C. Y DE INTEGRACIÓN (500 D.C al 1500 D.C). ;2007
Otros;BOTELLA SILBATO;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2007
Otros;BOTELLA SILBATO;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2007
Otros;BOTELLA SILBATO COMUNICANTE;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2007
Otros;BOTELLA SILBATOORNITOMORFA;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2007
Otros;CUENCO;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2007
Otros;FIGURIN;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;VASO-CANASTERO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;FIGURIN;ARQUEOLÓGICO;S/N;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;POR DENINIR;ARQUEOLÓGICO;S/N;N/D;2007
Otros; SELLOS CERAMICOS;ARQUEOLÓGICO;S/N;N/D;2007
Otros;SELLO EN PLACA                                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO EN PLACA                                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO EN PLACA                                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO CILINDRICO                       ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO EN PLACA ;ARQUEOLÓGICO;LA TOLITA ;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO EN PLACA ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO EN PLACA ;ARQUEOLÓGICO;LA TOLITA ;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO EN PLACA ;ARQUEOLÓGICO;MANTEÑA;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2007
Otros;SELLO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2007
Otros;VASIJA ;ARQUEOLÓGICO;CARANQUI;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
Otros;VASIJA-BOTELLA ;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
Otros;VASIJA FITOMORFA ;ARQUEOLÓGICO;CHORRERA;PERÍODO FORMATIVO TARDÍO 1800 a 500 a.C.;2008
Otros;VASIJA ;ARQUEOLÓGICO;MANTEÑA;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
Otros;FIGURIN;ARQUEOLÓGICO;NEGATIVO DEL CARCHI;PERIODO DESARROLLO REGIONAL 500 a.C. al 500 D.C. Y DE INTEGRACIÓN (500 D.C al 1500 D.C). ;2008
Otros;SELLO ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2008
Otros;SELLO EN PLACA ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2008
Otros;COLLARES                                   ;ARQUEOLÓGICO;JAMA COAQUE;N/D;2008
Otros;COLLARES                                   ;ARQUEOLÓGICO;JAMA COAQUE;N/D;2008
Otros;COLLARES                                   ;ARQUEOLÓGICO;JAMA COAQUE;N/D;2008
Otros;COLLARES                                   ;ARQUEOLÓGICO;JAMA COAQUE;N/D;2008
Otros;COLLARES                                   ;ARQUEOLÓGICO;JAMA COAQUE;N/D;2008
Otros;COLLAR   ;ARQUEOLÓGICO;JAMA COAQUE;N/D;2008
Otros;COLLAR  ;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2008
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2008
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2008
Otros;SELLO;ARQUEOLÓGICO;JAMA COAQUE;DESARROLLO REGIONAL 500 a.C. – 500 d.C.;2008
Otros;HACHA;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
Otros;HACHA;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
Otros;HACHA;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
Otros;HACHA;ARQUEOLÓGICO;BAHÍA ;"PERIODO INTEGRACIÓN 500 D.C. a 1500 D.C. 
";2008
